id;is_active;specification;user_uuid
1;true;../fake-data/blob/hipster.txt;pressure bore starch
2;true;../fake-data/blob/hipster.txt;sternly
3;false;../fake-data/blob/hipster.txt;knowledgeably tattered
4;false;../fake-data/blob/hipster.txt;urban
5;false;../fake-data/blob/hipster.txt;neatly off
6;true;../fake-data/blob/hipster.txt;hopelessly
7;false;../fake-data/blob/hipster.txt;quick
8;true;../fake-data/blob/hipster.txt;aboard knit oh
9;false;../fake-data/blob/hipster.txt;anxiously defiantly pish
10;true;../fake-data/blob/hipster.txt;remark
